position,driver,team,number,laps,time,interval,tyres,km/h,race_name,pits,points,podium,race_name_clean,circuit_difficulty,driver_code,team_code,constructor_code,grid_position,position_change
8.0,O. Bearman,Haas F1 Team,87,56,1:31:56.329,4.892,0,199.088,Chinese GP,1.0,4.0,0,chinese_gp,3.0,16,3,3,10,2.0
9.0,L. Stroll,Aston Martin Racing,18,56,1:32:05.230,3.009,0,198.767,Chinese GP,2.0,2.0,0,chinese_gp,3.0,13,1,1,10,1.0
10.0,C. Sainz,Williams,55,56,1:32:11.413,6.183,0,198.545,Chinese GP,1.0,1.0,0,chinese_gp,3.0,3,9,9,10,0.0
11.0,I. Hadjar,Racing Bulls,6,56,1:32:13.301,2.488,0,198.456,Chinese GP,2.0,0.0,0,chinese_gp,3.0,8,6,6,10,-1.0
12.0,L. Lawson,Red Bull Racing,30,56,1:32:16.173,2.272,0,198.374,Chinese GP,2.0,0.0,0,chinese_gp,3.0,11,7,7,10,-2.0
13.0,J. Doohan,Alpine,7,56,1:32:23.427,7.254,0,198.115,Chinese GP,2.0,0.0,0,chinese_gp,3.0,9,0,0,10,-3.0
14.0,G. Bortoleto,Sauber,5,55,1:31:05.782,1 Lap,0,197.339,Chinese GP,2.0,0.0,0,chinese_gp,3.0,6,8,8,10,-4.0
15.0,N. Hulkenberg,Sauber,27,55,1:31:15.262,9.470,0,196.998,Chinese GP,2.0,0.0,0,chinese_gp,3.0,15,8,8,10,-5.0
16.0,Y. Tsunoda,Racing Bulls,22,55,1:31:18.537,3.285,0,196.879,Chinese GP,2.0,0.0,0,chinese_gp,3.0,19,6,6,10,-6.0
0.0,F. Alonso,Aston Martin Racing,14,4,7:25.574,51 Laps,0,174.629,Chinese GP,1.0,0.0,0,chinese_gp,3.0,5,1,1,10,0.0
1.0,M. Verstappen,Red Bull Racing,1,53,1:22:06.983,—,0,224.659,Japanese GP Data,1.0,25.0,1,japanese_gp_data,2.0,14,7,7,10,9.0
2.0,L. Norris,McLaren,4,53,1:22:08.406,1.423,0,224.595,Japanese GP Data,1.0,18.0,1,japanese_gp_data,2.0,12,4,4,10,8.0
3.0,O. Piastri,McLaren,81,53,1:22:09.112,0.706,0,224.562,Japanese GP Data,1.0,15.0,1,japanese_gp_data,2.0,17,4,4,10,7.0
4.0,C. Leclerc,Ferrari,16,53,1:22:23.080,13.988,0,223.928,Japanese GP Data,1.0,12.0,0,japanese_gp_data,2.0,2,2,2,10,6.0
